name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Kuthant,Southwest (#2),151,kuth1240,traditional,Files for Australian Language Locations,1,0,-1,,,
Mirniny,Southwest,152,mirn1245,traditional,Files for Australian Language Locations,1,0,-1,,,Spelling of the language name changed from Mirrniny per Doug Marmion (and back per Sue Hanson).
Kurtjar,Southwest (#2),153,gurd1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Uw-Olgol,Southwest (#2),154,kunj1245,traditional,Files for Australian Language Locations,1,0,-1,,,
Kuuk-Narr,Southwest (#2),155,kokn1236,traditional,Files for Australian Language Locations,1,0,-1,,,
Koko Bera,Southwest (#2),158,gugu1254,traditional,Files for Australian Language Locations,1,0,-1,,,
Yir Yoront,Southwest (#2),160,yiry1245,traditional,Files for Australian Language Locations,1,0,-1,,,
Malyangapa,Yardli,161,maly1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Kuku Yalanji,Yalanjic,162,kuku1273,traditional,Files for Australian Language Locations,1,0,-1,,,
Wadikali,Yardli,163,wadi1261,traditional,Files for Australian Language Locations,1,0,-1,,,
Yardliyawarra,Yardli,164,yard1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Yidiny,Yidinyic,165,yidi1250,traditional,Files for Australian Language Locations,1,0,-1,,,boundaries per Dixon grammar
Djabugay,Yidinyic,166,dyaa1242,traditional,Files for Australian Language Locations,1,0,-1,,,
YortaYorta,Yotayotic,167,yort1237,traditional,Files for Australian Language Locations,1,0,-1,,,
YabulaYabula,Yotayotic,168,yabu1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngarigu,Yuin,169,ngar1297,traditional,Files for Australian Language Locations,1,0,-1,,,
Thawa,Yuin,170,sout2771,traditional,Files for Australian Language Locations,1,0,-1,,,
Dharawal,Yuin,171,thur1254,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngunawal,Yuin,172,ngun1277,traditional,Files for Australian Language Locations,1,0,-1,,,
Dhurga,Yuin,173,dhur1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Gandangara,Yuin,174,gund1248,traditional,Files for Australian Language Locations,1,0,-1,,,
